nr.,xpix.,ypix.,xmm,ymm,powierzchniamm,długośćmm,szerokośćmm,kąt,obwódmm,obwód_c.mm,średnica_fereta_hmm,średnica_fereta_vmm,średn._martinamm,średn._sitowamm,średnia_jaskrawość,r,g,b,y,liczenie_obiektow_w,udzial_punktow,pole_obrazu_mm2
141,1020,526,102.0,52.6,0.3,0.58309519,0.44721360,149.04,1.54469728,1.54469728,0.6,0.6,0.6,0.5,213.5,67.7,102.0,122.4,93.4,233,100.0,12288.0
142,1028,526,102.8,52.6,0.23,0.56568542,0.42426407,45.0,1.40551999,1.38770543,0.6,0.5,0.6,0.4,198.2,66.5,100.2,112.8,91.0,233,100.0,12288.0
143,716,526,71.6,52.6,0.1,0.36055513,******,146.31,0.83983456,0.83983456,0.4,0.3,0.4,0.2,177.3,68.2,101.3,111.6,92.0,233,100.0,12288.0
145,1098,520,109.8,52.0,1.08,1.33416641,0.80622577,102.99,3.47922036,3.4574886,1.0,1.4,1.0,0.9,224.4,82.9,130.7,157.8,118.7,233,100.0,12288.0
146,295,518,29.5,51.8,1.84,1.65529454,1.30000000,154.98,4.78378066,4.65983739,1.6,1.4,1.5,1.4,236.6,92.5,138.9,160.9,126.7,233,100.0,12288.0
147,997,520,99.7,52.0,0.14,0.36055513,0.22360680,146.31,0.99907048,0.99907048,0.4,0.4,0.4,0.3,188.9,61.4,96.1,111.0,86.9,233,100.0,12288.0
149,685,512,68.5,51.2,0.34,1.02956301,0.31622777,150.95,2.6436126,2.32726274,1.0,0.7,0.8,0.4472136,178.5,68.7,100.1,108.2,90.9,233,100.0,12288.0
151,1029,510,102.9,51.0,0.45,1.11803399,0.50000000,10.3,3.07699765,2.72549467,1.2,0.6,1.2,0.5,199.8,67.1,100.1,112.0,91.0,233,100.0,12288.0
152,402,504,40.2,50.4,0.54,0.86023253,0.64031242,35.54,2.39272175,2.35261961,0.9,0.8,0.8,0.78102497,221.4,90.1,134.8,157.0,123.2,233,100.0,12288.0
153,609,502,60.9,50.2,0.37,0.72801099,0.40000000,15.95,1.91783055,1.88220143,0.8,0.6,0.8,0.5,217.2,77.5,112.8,126.0,103.1,233,100.0,12288.0
154,834,497,83.4,49.7,0.6,0.92195445,0.72111026,130.6,2.48227684,2.43535148,0.9,0.8,0.8,0.7,220.2,85.1,133.6,157.1,121.0,233,100.0,12288.0
156,711,489,71.1,48.9,0.26,0.53851648,0.40000000,111.8,1.4722901,1.4722901,0.5,0.6,0.5,0.4,203.2,65.9,99.7,113.3,90.6,233,100.0,12288.0
157,1070,489,107.0,48.9,0.21,0.53851648,0.31622777,21.8,1.31876007,1.31428705,0.6,0.5,0.5,0.36055513,190.4,63.4,96.8,112.9,88.0,233,100.0,12288.0
159,641,478,64.1,47.8,0.21,0.5,0.28284271,53.13,1.29748369,1.27966913,0.5,0.5,0.5,0.4,203.8,67.4,102.2,113.5,92.4,233,100.0,12288.0
162,761,465,76.1,46.5,1.15,1.82482876,0.80622577,9.46,4.14717948,4.02845393,1.9,0.8,1.8,0.8,227.2,71.4,108.1,119.5,97.8,233,100.0,12288.0
163,958,460,95.8,46.0,1.21,1.40356688,0.90000000,175.91,3.8773613,3.77732241,1.5,1.1,1.5,1.0,227.1,90.1,140.6,165.0,127.5,233,100.0,12288.0
164,369,459,36.9,45.9,0.87,1.23693169,0.70710678,165.96,3.16144337,3.12464478,1.3,0.8,1.3,0.7,231.9,88.8,139.4,162.4,126.1,233,100.0,12288.0
165,583,457,58.3,45.7,0.51,0.85440037,0.53851648,20.56,2.39023774,2.30001599,0.9,0.7,0.9,0.6,216.8,73.0,106.3,115.0,96.7,233,100.0,12288.0
166,699,456,69.9,45.6,0.16,0.41231056,0.20000000,165.96,1.12267728,1.12267728,0.5,0.4,0.5,0.3,186.0,65.4,100.4,111.8,90.6,233,100.0,12288.0
167,1232,451,123.2,45.1,1.12,1.42126704,0.86023253,140.71,3.81636745,3.71196412,1.4,1.1,1.3,0.85440037,225.7,77.6,120.4,149.8,110.2,233,100.0,12288.0
169,1053,441,105.3,44.1,1.7,1.77200451,1.21655251,106.39,4.83745794,4.66535119,1.3,1.8,1.1,1.2,228.2,84.8,133.9,154.4,120.8,233,100.0,12288.0
171,772,441,77.2,44.1,0.53,0.82462113,0.70710678,14.04,2.23100182,2.21318726,0.9,0.8,0.8,0.7,221.4,80.2,119.7,141.6,109.6,233,100.0,12288.0
172,139,414,13.9,41.4,2.1,3.1144823,0.70710678,42.4,6.89825818,6.79304599,2.4,2.4,1.1,0.70710678,226.6,82.9,118.5,129.5,108.5,233,100.0,12288.0
173,1270,419,127.0,41.9,1.48,1.61554944,1.07703296,68.2,4.35511734,4.2026194,1.2,1.6,1.0,1.11803399,228.1,82.5,128.0,157.5,117.0,233,100.0,12288.0
174,334,418,33.4,41.8,1.2,1.36014705,1.00000000,36.03,3.79084241,3.69663465,1.3,1.2,1.3,1.1,232.2,85.5,133.0,155.0,120.5,233,100.0,12288.0
175,1243,411,124.3,41.1,2.36,2.56320112,1.04403065,110.56,6.4726868,5.97256115,1.5,2.5,1.0,1.11803399,232.9,81.9,125.7,150.9,114.8,233,100.0,12288.0
176,594,417,59.4,41.7,0.2,0.50990195,0.20000000,101.31,1.15606233,1.15606233,0.4,0.5,0.4,0.3,196.8,67.0,101.1,112.7,91.6,233,100.0,12288.0
177,518,413,51.8,41.3,1.94,1.92353841,1.20415946,8.97,4.94314601,4.87053857,2.0,1.2,2.0,1.1,228.4,99.2,147.7,165.4,134.5,233,100.0,12288.0
178,714,415,71.4,41.5,0.53,0.84852814,0.70710678,45.0,2.27241379,2.26687089,0.8,0.8,0.8,0.7,217.5,75.7,118.3,140.2,107.4,233,100.0,12288.0
179,733,409,73.3,40.9,0.35,0.67082039,0.53851648,26.57,1.91869126,1.86830408,0.7,0.7,0.7,0.58309519,212.2,77.5,116.2,133.5,105.9,233,100.0,12288.0
180,483,408,48.3,40.8,0.5,0.94339811,0.44721360,32.01,2.29128157,2.26608798,0.9,0.7,0.8,0.6,217.4,65.4,100.4,113.7,90.9,233,100.0,12288.0
181,118,395,11.8,39.5,2.34,1.93132079,1.48660687,21.25,5.95019482,5.30738096,1.9,1.7,1.8,1.56204994,235.7,107.8,154.1,168.3,141.1,233,100.0,12288.0
182,1224,395,122.4,39.5,2.01,2.0880613,1.14017543,16.7,5.17396491,5.06137324,2.1,1.3,1.9,1.2,238.3,91.0,141.6,169.5,128.8,233,100.0,12288.0
183,928,367,92.8,36.7,15.61,14.707821,1.26491106,22.38,33.4507384,30.2147499,13.7,6.1,3.1,1.3,239.7,87.6,133.3,157.8,121.7,233,100.0,12288.0
184,735,389,73.5,38.9,0.92,1.60312195,0.70000000,86.42,3.94847532,3.74565564,0.9,1.7,0.9,0.8,208.9,65.9,99.2,110.9,89.9,233,100.0,12288.0
186,439,387,43.9,38.7,0.36,0.67082039,0.53851648,63.43,1.86011262,1.8244835,0.7,0.7,0.7,0.58309519,211.0,75.8,115.9,133.1,105.1,233,100.0,12288.0
187,670,383,67.0,38.3,0.97,1.2083046,0.85440037,114.44,3.48380422,3.36085936,1.1,1.2,1.0,0.98488578,222.8,81.6,125.4,144.8,113.8,233,100.0,12288.0
188,217,384,21.7,38.4,0.3,0.64031242,0.36055513,51.34,1.67054814,1.66607512,0.7,0.6,0.7,0.56568542,214.4,71.0,109.4,127.4,99.3,233,100.0,12288.0
189,382,383,38.2,38.3,0.58,0.86023253,0.72111026,54.46,2.45292609,2.39210339,0.9,0.8,0.9,0.7,225.1,86.8,129.9,150.2,118.6,233,100.0,12288.0
190,503,380,50.3,38.0,1.27,1.61245155,0.98488578,29.74,4.07793378,4.0384482,1.5,1.3,1.2,1.0,230.1,76.0,110.4,121.2,100.7,233,100.0,12288.0
191,602,379,60.2,37.9,0.1,0.36055513,******,146.31,0.83983456,0.83983456,0.4,0.3,0.4,0.2,172.3,69.5,102.8,111.9,93.2,233,100.0,12288.0
193,577,371,57.7,37.1,0.62,0.94339811,0.76157731,147.99,2.63623357,2.58584639,1.0,0.8,0.9,0.7,213.7,84.4,128.5,147.8,116.8,233,100.0,12288.0
194,599,367,59.9,36.7,0.12,0.41231056,0.20000000,104.04,0.86502815,0.74142136,0.4,0.4,0.3,0.28284271,166.3,68.1,100.2,107.8,90.8,233,100.0,12288.0
195,606,362,60.6,36.2,0.55,1.06301458,0.42426407,131.19,2.60694336,2.57934116,0.9,1.0,0.7,0.58309519,211.1,71.5,102.6,113.6,93.9,233,100.0,12288.0
196,1265,361,126.5,36.1,1.26,1.43178211,0.85440037,24.78,3.92571358,3.79945125,1.4,1.2,1.4,1.11803399,231.3,79.7,126.5,156.4,115.2,233,100.0,12288.0
197,433,358,43.3,35.8,1.58,1.61245155,1.25299641,60.26,5.17471587,4.73405401,1.6,1.6,1.6,1.36014705,222.0,73.8,110.3,126.2,100.5,233,100.0,12288.0
199,832,355,83.2,35.5,0.65,0.89442719,0.76157731,116.57,2.61232656,2.5669098,0.9,0.9,0.9,0.8,226.9,85.4,133.4,156.1,120.9,233,100.0,12288.0
200,1103,345,110.3,34.5,0.91,1.30384048,0.58309519,122.47,3.20196643,3.16633731,1.0,1.2,1.0,0.80622577,226.4,82.3,130.7,161.2,118.9,233,100.0,12288.0
201,1167,337,116.7,33.7,1.31,1.44222051,0.94339811,33.69,3.86606506,3.80423116,1.4,1.2,1.4,1.1,232.6,93.6,146.8,170.9,132.8,233,100.0,12288.0
203,727,337,72.7,33.7,0.25,0.58309519,0.31622777,30.96,1.38770543,1.38770543,0.6,0.5,0.6,0.4,206.1,69.3,102.6,114.1,93.3,233,100.0,12288.0
204,834,334,83.4,33.4,0.27,0.58309519,0.44721360,59.04,1.5803264,1.56251184,0.6,0.6,0.6,0.36055513,200.0,68.0,99.6,112.0,90.9,233,100.0,12288.0
205,69,326,6.9,32.6,0.47,0.98488578,0.53851648,23.96,2.22462771,2.19780843,1.0,0.6,0.9,0.5,223.5,88.2,130.5,154.9,119.9,233,100.0,12288.0
206,120,309,12.0,30.9,1.42,1.56524758,1.11803399,63.43,4.03494101,4.01067695,1.2,1.5,1.2,1.1,230.2,80.6,127.7,152.5,115.7,233,100.0,12288.0
207,1104,311,110.4,31.1,0.59,0.92195445,0.64031242,49.4,2.42035347,2.40253891,0.9,0.8,0.8,0.7,225.6,78.3,122.8,151.6,112.0,233,100.0,12288.0
209,540,301,54.0,30.1,0.52,0.85440037,0.63245553,20.56,2.31542194,2.29760738,0.9,0.8,0.9,0.56568542,218.1,82.0,128.1,147.4,115.9,233,100.0,12288.0
210,763,289,76.3,28.9,1.35,1.41421356,1.10000000,171.87,4.23652181,4.01491059,1.5,1.3,1.4,1.21655251,223.7,89.2,138.5,158.4,125.2,233,100.0,12288.0
212,634,287,63.4,28.7,0.11,0.36055513,0.10000000,146.31,0.83983456,0.83983456,0.4,0.3,0.4,0.2,185.2,66.6,100.5,112.5,91.2,233,100.0,12288.0
214,919,274,91.9,27.4,1.53,1.72626765,1.00000000,169.99,4.45570694,4.33833059,1.8,1.1,1.7,1.0,234.3,97.3,150.6,175.1,136.7,233,100.0,12288.0
215,516,269,51.6,26.9,1.49,1.52970585,1.20415946,78.69,4.36544981,4.23431351,1.4,1.6,1.3,1.31529464,227.9,88.3,136.8,157.5,123.9,233,100.0,12288.0
216,903,266,90.3,26.6,0.2,0.4472136,0.44721360,116.57,1.30486272,1.28704816,0.5,0.5,0.5,0.4,196.3,67.9,105.2,122.9,95.5,233,100.0,12288.0
217,1016,261,101.6,26.1,0.37,0.67082039,0.53851648,116.57,1.90739502,1.87176591,0.7,0.7,0.7,0.56568542,211.2,66.5,104.2,130.3,95.2,233,100.0,12288.0
219,804,252,80.4,25.2,0.94,1.17046999,0.94868330,160.02,3.481893,3.31080503,1.2,1.1,1.2,0.90553851,225.8,80.0,124.9,147.0,113.3,233,100.0,12288.0
220,967,247,96.7,24.7,1.42,1.56524758,1.11803399,116.57,4.38128789,4.16693204,1.4,1.5,1.3,1.11803399,228.6,94.0,146.6,169.9,132.8,233,100.0,12288.0
223,256,238,25.6,23.8,1.06,1.40356688,0.90000000,4.09,4.01443299,3.66944949,1.5,1.1,1.4,1.0,227.7,88.1,136.6,159.3,123.9,233,100.0,12288.0
224,401,232,40.1,23.2,0.56,0.9486833,0.60827625,18.43,2.40656695,2.39873254,1.0,0.7,1.0,0.6,221.9,73.0,108.4,128.1,99.4,233,100.0,12288.0
225,1254,228,125.4,22.8,1.28,1.58113883,0.94339811,55.3,3.98327064,3.91827123,1.4,1.4,1.2,1.13137085,229.5,82.9,132.2,162.6,120.1,233,100.0,12288.0
226,323,229,32.3,22.9,0.4,0.72111026,0.58309519,56.31,1.88611864,1.88611864,0.7,0.7,0.7,0.6,219.6,83.0,126.3,145.8,114.9,233,100.0,12288.0
227,950,229,95.0,22.9,0.66,0.92195445,0.78102497,130.6,2.68965587,2.63764299,0.9,0.9,0.9,0.8,223.9,88.0,138.8,166.4,125.9,233,100.0,12288.0
229,855,222,85.5,22.2,0.19,0.5,0.28284271,143.13,1.15214513,1.15214513,0.5,0.4,0.5,0.3,207.1,65.6,102.6,120.1,92.9,233,100.0,12288.0
230,99,213,9.9,21.3,0.68,0.98488578,0.72801099,23.96,2.6377601,2.63535148,1.0,0.8,1.0,0.7,228.8,75.8,117.6,144.5,107.4,233,100.0,12288.0
232,247,206,24.7,20.6,0.11,0.36055513,0.10000000,146.31,0.83983456,0.83983456,0.4,0.3,0.4,0.2,193.2,65.2,99.5,114.7,90.4,233,100.0,12288.0
233,983,203,98.3,20.3,0.71,0.98488578,0.72801099,156.04,2.6944338,2.66924021,1.0,0.9,1.0,0.8,224.7,78.5,125.2,155.4,113.9,233,100.0,12288.0
234,147,197,14.7,19.7,2.19,2.02484567,1.30384048,122.91,5.35532307,5.25301288,1.5,2.0,1.3,1.36014705,233.5,88.2,138.1,163.8,125.2,233,100.0,12288.0
235,471,196,47.1,19.6,1.79,1.64012195,1.22065556,37.57,4.74489752,4.64373346,1.5,1.7,1.5,1.41421356,232.2,91.8,140.6,162.2,127.7,233,100.0,12288.0
236,853,196,85.3,19.6,1.92,2.06155281,1.06301458,140.91,5.25209843,5.00849562,1.9,1.4,1.7,1.16619038,236.2,88.1,138.8,165.5,125.8,233,100.0,12288.0
238,1126,199,112.6,19.9,0.11,0.31622777,0.20000000,161.57,0.85764912,0.85764912,0.4,0.4,0.4,0.28284271,183.5,63.5,96.7,115.7,88.3,233,100.0,12288.0
239,251,189,25.1,18.9,2.49,2.23606798,1.61245155,10.3,7.02344194,6.00212347,2.3,1.8,2.3,1.61245155,233.8,90.8,137.8,161.2,125.6,233,100.0,12288.0
240,13,189,1.3,18.9,1.09,1.8973666,0.70710678,71.57,4.47884039,4.35126919,1.1,1.9,0.7,0.63245553,223.5,75.6,111.0,128.0,101.6,233,100.0,12288.0
241,353,189,35.3,18.9,0.55,0.85440037,0.63245553,20.56,2.34275656,2.31756297,0.9,0.8,0.9,0.7,220.4,84.7,129.0,151.7,117.6,233,100.0,12288.0
243,733,171,73.3,17.1,0.2,0.56568542,0.42426407,45.0,1.22109048,1.21661746,0.5,0.5,0.4,0.5,206.8,64.1,98.5,110.7,89.0,233,100.0,12288.0
244,112,165,11.2,16.5,1.04,1.36014705,0.82462113,17.1,3.52424169,3.49954549,1.4,0.9,1.3,0.8,233.0,90.9,141.6,164.5,128.2,233,100.0,12288.0
245,492,166,49.2,16.6,0.2,0.58309519,0.28284271,59.04,1.2567196,1.2567196,0.4,0.6,0.4,0.3,198.2,67.0,98.8,112.3,90.2,233,100.0,12288.0
247,259,154,25.9,15.4,2.11,2.28473193,1.07703296,23.2,5.61335688,5.48240949,2.2,1.5,2.1,1.2083046,234.7,85.1,127.6,145.3,116.2,233,100.0,12288.0
248,1092,155,109.2,15.5,0.9,1.3,0.76157731,67.38,3.3372852,3.26737569,1.1,1.3,0.9,0.89442719,222.0,82.6,128.4,155.0,117.0,233,100.0,12288.0
249,513,151,51.3,15.1,1.68,1.61554944,1.17046999,68.2,4.78217657,4.41720685,1.4,1.6,1.4,1.39283883,228.2,89.0,136.9,158.5,124.3,233,100.0,12288.0
251,1097,128,109.7,12.8,1.31,1.45602198,0.92195445,105.95,3.90325107,3.89038781,1.1,1.5,1.0,1.0,232.9,83.9,133.1,160.1,120.7,233,100.0,12288.0
252,1113,129,111.3,12.9,0.18,0.5,0.28284271,143.13,1.30094551,1.28313096,0.5,0.5,0.5,0.31622777,184.4,60.9,95.7,112.7,86.6,233,100.0,12288.0
253,729,123,72.9,12.3,0.19,0.53851648,0.30000000,158.2,1.16995968,1.16995968,0.6,0.4,0.6,0.3,197.7,66.6,97.9,110.4,89.3,233,100.0,12288.0
254,1120,117,112.0,11.7,0.98,1.34164079,0.89442719,116.57,3.58465554,3.46008772,1.0,1.3,0.9,0.92195445,222.4,82.3,131.0,158.0,118.7,233,100.0,12288.0
255,723,113,72.3,11.3,0.7,1.0,0.80622577,126.87,2.92614571,2.88857272,1.0,1.0,0.8,0.92195445,212.6,68.0,101.6,113.9,92.3,233,100.0,12288.0
257,682,105,68.2,10.5,0.19,0.4472136,0.31622777,116.57,1.24628407,1.24628407,0.5,0.5,0.5,0.36055513,195.8,66.4,99.7,114.1,90.8,233,100.0,12288.0
258,1113,104,111.3,10.4,0.33,0.64031242,0.50000000,128.66,1.66053849,1.65315945,0.6,0.6,0.6,0.5,213.2,71.0,109.8,134.6,100.3,233,100.0,12288.0
259,732,89,73.2,8.9,0.25,0.63245553,0.40000000,71.57,1.42846952,1.42846952,0.5,0.6,0.4,0.5,195.8,65.4,100.2,110.7,90.3,233,100.0,12288.0
260,743,89,74.3,8.9,0.24,0.63245553,0.30000000,18.43,1.50505523,1.48724067,0.7,0.4,0.7,0.3,203.7,64.0,96.6,109.9,87.7,233,100.0,12288.0
261,283,81,28.3,8.1,2.01,1.7,1.47648231,61.93,5.08247335,4.83038194,1.5,1.7,1.5,1.4,232.2,91.2,144.0,165.0,129.8,233,100.0,12288.0
263,1055,82,105.5,8.2,1.1,1.43178211,0.85440037,114.78,3.73066076,3.68708013,1.1,1.4,1.0,1.04403065,228.3,80.0,128.1,152.0,115.7,233,100.0,12288.0
265,694,77,69.4,7.7,0.26,0.56568542,0.42426407,135.0,1.48964928,1.47183472,0.6,0.5,0.6,0.4,209.3,64.5,99.0,120.4,90.5,233,100.0,12288.0
266,522,77,52.2,7.7,0.11,0.36055513,0.14142136,146.31,0.99907048,0.96344136,0.4,0.4,0.4,0.31622777,173.1,70.2,102.2,111.2,93.0,233,100.0,12288.0
267,212,73,21.2,7.3,1.05,1.2083046,0.94868330,155.56,3.42522558,3.40521193,1.2,1.1,1.2,1.0,226.0,83.6,132.5,154.4,119.6,233,100.0,12288.0
268,710,60,71.0,6.0,0.33,0.72111026,0.50000000,146.31,1.93650582,1.9039332,0.7,0.7,0.6,0.5,200.3,65.5,99.0,110.8,89.7,233,100.0,12288.0
269,63,42,6.3,4.2,3.06,2.34093998,1.89736660,70.02,7.13788717,6.56454412,2.0,2.3,1.9,1.8973666,235.2,88.1,132.5,155.7,121.1,233,100.0,12288.0
270,1110,41,111.0,4.1,0.2,0.5,0.28284271,53.13,1.23890504,1.22109048,0.5,0.5,0.4,0.31622777,209.5,67.8,102.8,123.8,94.0,233,100.0,12288.0
271,301,36,30.1,3.6,0.18,0.5,0.28284271,53.13,1.09748369,1.09748369,0.4,0.5,0.4,0.3,193.8,67.2,99.8,111.8,90.8,233,100.0,12288.0
274,370,33,37.0,3.3,0.16,0.4472136,0.31622777,26.57,1.12267728,1.10486272,0.5,0.4,0.5,0.3,188.4,61.8,95.9,111.9,86.9,233,100.0,12288.0
275,307,26,30.7,2.6,1.02,1.62788206,0.78102497,137.49,3.82655476,3.78857528,1.3,1.3,1.3,0.85440037,224.3,73.6,108.0,125.0,99.0,233,100.0,12288.0
276,722,24,72.2,2.4,0.31,0.72801099,0.40000000,74.05,1.9008767,1.866986,0.6,0.8,0.6,0.50990195,191.5,65.6,98.0,111.5,89.2,233,100.0,12288.0
277,1168,23,116.8,2.3,0.41,0.76157731,0.53851648,113.2,2.12912679,2.05991385,0.7,0.8,0.7,0.63245553,209.0,74.8,111.3,141.1,103.1,233,100.0,12288.0
278,332,18,33.2,1.8,0.17,0.4472136,0.31622777,26.57,1.10486272,1.10486272,0.5,0.4,0.5,0.3,193.3,65.8,99.4,115.6,90.6,233,100.0,12288.0
279,1255,10,125.5,1.0,1.17,1.39283883,0.94868330,68.96,3.64345337,3.63475626,1.0,1.4,1.0,0.9,230.7,98.8,147.9,172.6,135.2,233,100.0,12288.0
280,401,12,40.1,1.2,0.53,1.11803399,0.60000000,169.7,3.48858213,2.76671729,1.2,0.7,1.2,0.6,190.7,65.2,97.0,109.8,88.4,233,100.0,12288.0
281,424,7,42.4,0.7,0.33,0.67082039,0.53851648,63.43,1.70739502,1.68958047,0.6,0.7,0.6,0.5,207.5,68.1,100.5,117.6,92.1,233,100.0,12288.0
